Name_of_Text,Religion,Text,Country_of_Origin,Region_of_Country,Language,Type_of_Religion,Practition_Status,Date_of_Text_Origin,Open_Closed_Status,Rainfall,Wind,Arability,Biome,Climate,Latitude,Longitude,Min_Temp,Max_Temp,Elevation,Earthquake,Volcanics,Coastal_Flooding,Water_Scarcity,Extreme_Heat,River_Flooding,Tsunami,Landslide,Cyclone,Wildfire
Amazulu Myths,Amadlozi,,South Africa,Zululand,IsiZulu,Animistic,Stable,1870,NA,25.95,11.44,Mixed,"Alpine, Savanna, Tropical Rain Forest","Cfa, Cfb, BSh, Aw",-28.5306,30.8958,65,78,2533,Very Low,NA,NA,Low,Medium,Very Low,NA,Low,Low,High
ífè and Yoruba Myths,Ìsèse,,Nigeria,Lagos,Yoruba,Polytheistic,Stable,500,Closed,46.73,6.82,Yes,"Savanna, Tropical Rain Forest, Alpine","Aw, BSh, Am, BWh, Af, Cwb",6.5244,3.3792,78,84,1138,Very Low,Medium,High,High,High,High,Low,Medium,NA,High
Inca Myths and Apu Ollantay,Inca Religion,,Peru,Cusco,Quechua,Polytheistic,Extinct,1770,NA,50.3,5.25,No,"Tropical Rain Forest, Alpine, Desert","Cfb, BWh, ET, BWk, BSk, Cwb, Aw, Af",-13.532,-71.9675,47,54,11329,High,High,High,High,Medium,High,High,High,Very Low,High
Mabinogian,Celtic Religion,,Wales,Wales,Middle Welsh,Animistic,Extinct,1100,NA,29.2,11.46,Mixed,Temperate Deciduous Forest,Cfb,52.1307,-3.7837,40,62,325,Low,NA,High,Low,Low,Low,Low,Medium,NA,High
Carib Myths,Carib Religion,,Lesser Antilles,Lesser Antilles,Kari'nja,Animistic,Endangered,1880,NA,34.8,15.73,Mixed,"Tropical Rain Forest, Desert, Savanna","Af, Aw",15.415,-61.371,77,82,115,Medium,High,Medium,NA,Low,Very Low,Medium,High,NA,Very Low
Prose Edda,Norse Religion,,Iceland,Dalasýsla,Old Icelandic,Polytheistic,Revived,1220,Open,54.8,12.05,No,"Boreal Forest, Polar Ice","ET, Dfc, Cfc",64.9631,-19.0208,32,53,518,High,High,Medium,Very Low,Very Low,NA,Low,High,NA,Medium
Arawak Myths,Arawak Religion,,Venezuela,Orinoco River Basin,Lokono,Animistic,Endangered,1880,NA,43.7,6.71,Mixed,"Tropical Rain Forest, Desert, Savanna",Aw,8.3663,-62.6497,80,83,1066,Medium,NA,High,Very Low,Medium,High,Medium,Very Low,Medium,High
Maori Myths,Maori Religion,,New Zealand,New Zealand,Maori,Polytheistic,Endangered,1854,NA,43.9,10.225,No,"Temperate Deciduous Forest, Alpine, Temperate Grassland","Cfb, Cfc",-40.9006,174.886,44,62,1309,High,High,High,Very Low,Low,High,High,High,High,High
Cherokee Myths,Cherokee Religion,,United States of America,Western North Carolina,Cherokee,Animistic,Endangered,1897,NA,50,4.53,Yes,"Temperate Deciduous Forest, Temperate Coniferous Forest","Cfa, Cfb, Dfa",36.1627,-86.7816,36,72,877.5,Medium,NA,NA,Very Low,High,HIgh,NA,High,Medium,High
The Book of The Dead,Ancient Egyptian Religion,,Egypt,Badrashin,Ancient Egyptian,Polytheistic,Revived,-1550,Open,0.7,8.96,No,"Savanna, Desert, Chaparral",BWh,30.0131,31.2089,58,85,236,Low,NA,NA,High,High,High,NA,Very Low,NA,High
Warao Myths,Warao Religion,,Venezuela,Orinoco River Basin,Warao,Animistic,Endangered,1880,NA,43.7,6.71,Mixed,"Tropical Rain Forest, Desert, Savanna",Aw,8.3663,-62.6497,80,83,1066,Medium,NA,High,Very Low,Medium,High,Medium,Very Low,Medium,High
Chukchi Myths,Chukchi Religion,,Russia,Chukotka,Chukchi,Animistic,Endangered,1910,NA,18.8,11.02,No,"Boreal Forest, Tundra","ET, Dfc, Dsc",65.6298,171.6952,-7,54,518,High,NA,High,Very Low,Low,NA,High,Low,NA,Medium
Yuwaalaray Myths,Yuwaalaraay Religion,,Australia,North-western New South Wales,Gamilaraay,Animistic,Endangered,1905,NA,17,9.13,No,"Temperate Grassland, Temperate Deciduous Forest, Savanna, Desert, Chaparral","Cfa, Cfb, BSk, BSh, BWh, Dfc",-29.4278,147.979,52,84,482,Very Low,NA,NA,Very Low,Medium,High,NA,Very Low,Low,High
Hawaiian Myths,Hawaiian Religion,,United States of America,Honolulu,Hawaiian,Polytheistic,Endangered,1916,Closed,14.4,14.34,No,Tropical Rain Forest,"Af, Aw, Am, Cfb, BSh",21.3099,-157.8581,73,81,7,High,Medium,High,NA,Medium,NA,High,Medium,High,High
Xhosa Myths,Xhosa Religion,,South Africa,Eastern Cape,IsiXhosa,Animistic,Endangered,1886,NA,22.2,8.75,No,"Alpine, Tropical Rain Forest, Desert, Chaparral","Cfb, BSk, Cfa, BSh",-32,27,54,70,2776,Low,NA,High,Low,Medium,Low,Medium,Low,Very Low,High
Greenlandic Inuit Myths,Greenlandic Religion,,Greenland,Greenland,Kalaallisut,Animistic,Endangered,1921,NA,33.5,10.03,No,"Tundra, Polar Ice","ET, Dfc",71.7069,-42.6043,15,46,1949,Medium,NA,High,NA,Very Low,NA,Low,Very Low,NA,Medium
Homeric Hymns,Hellenism,,Turkey,Izmir,Homeric Greek,Polytheistic,Revived,-700,Open,29.2,9.44,Mixed,"Chaparral, Temperate Deciduous Forest","Csa, Dsb, Cfb, Csb, Dfb",38.4237,27.1428,45,82,1598,Medium,Very Low,High,Low,Medium,High,Medium,High,NA,High
Igorot Myths,Igorot Religion,,Phillipines,North Luzon,Ilocano,Animistic,Endangered,1955,NA,78.7,5.8,Mixed,Tropical Rain Forest,"Am, Af, Aw",16,121,72,82,289,High,Low,High,Low,Medium,Medium,NA,High,High,High
Kebra Nagast,Tewahedo,,Ethiopia,Tigray,Ge'ez,Monotheistic,Thriving,400,Open,35.8,7.28,Mixed,"Alpine, Desert, Savanna, Tropical Rain Forest","BSh, BSk, Aw, Cfb, Cwb, Csb",14.0323,38.3166,64,73,4416,Medium,Medium,NA,Medium,High,Very Low,NA,High,Very Low,High
